,rab.all,rab.win.CON,rab.win.MIX,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH
"PTS-Glc-EIIA, crr; PTS system, glucose-specific IIA component [EC:2.7.1.69]",0.204347056,0.529897821,-0.271173369,-0.727352116,0.603207536,-1.008255009,0.136541071,0.019665132,0.748744562,0.002513822,0.645826323
EEF1A; elongation factor 1-alpha,-4.049266757,-2.524066441,-4.898877791,-2.334969774,2.49731642,-0.914328728,0.15494801,0.00436919,0.729636647,0.004970411,0.648929029
"RP-L35, rpmI; large subunit ribosomal protein L35",2.246969528,2.148753695,2.379751965,0.235672927,0.31045729,0.769707694,0.152145739,0.006149483,0.733669087,0.006032393,0.651987387
"PTS-Bgl-EIIA, bglF; PTS system, beta-glucosides-specific IIA component [EC:2.7.1.69]",1.91548915,2.122855245,1.72850379,-0.470947726,0.703644755,-0.621255196,0.148244571,0.058183275,0.874801769,0.004292201,0.652165548
rbsB; ribose transport system substrate-binding protein,2.708309896,2.562829708,2.988821802,0.43723329,0.465779263,0.929451919,0.152343845,0.002064138,0.730749598,0.003055933,0.652186397
"PTS-Bgl-EIIB, bglF; PTS system, beta-glucosides-specific IIB component [EC:2.7.1.69]",1.756623039,2.099858038,1.566063253,-0.533593962,0.518534146,-0.808561938,0.161248463,0.029929657,0.7721827,0.004111149,0.652564722
mrcB; penicillin-binding protein 1B [EC:2.4.1.129 3.4.-.-],0.164836795,-0.301018329,0.427774131,0.8545771,1.125947657,0.757653626,0.179453913,0.006412385,0.735944916,0.006203056,0.660779051
cobN; cobaltochelatase CobN [EC:6.6.1.2],0.063086463,0.361019987,-0.315525773,-0.640221811,0.678027129,-0.825141866,0.170572999,0.010694529,0.736811495,0.005896739,0.661630411
HSPA1_8; heat shock 70kDa protein 1/8,-2.306782969,-1.150450554,-3.173092227,-1.923765723,2.335387037,-0.798464025,0.182054692,0.010245804,0.738099275,0.007530544,0.667420411
"E3.5.4.13, dcd; dCTP deaminase [EC:3.5.4.13]",-0.111150239,0.033993985,-0.412259085,-0.532105512,0.614640478,-0.798431453,0.179453913,0.006216249,0.732814212,0.010741175,0.668263193
"E2.5.1.48, metB; cystathionine gamma-synthase [EC:2.5.1.48]",-0.03014849,0.275039601,-0.52629922,-0.732281627,0.794307595,-0.828008521,0.187256249,0.007251292,0.735973442,0.008098114,0.671215898
pheC; cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91],-2.957345848,-2.139461859,-3.482585016,-1.515344891,1.92129854,-0.78114117,0.18595586,0.008543128,0.733947123,0.010273752,0.67235568
purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18],-0.34931602,0.640533918,-0.827379026,-1.391240107,1.487402375,-0.820839888,0.183355081,0.042905308,0.818832938,0.009688241,0.673675052
recC; exodeoxyribonuclease V gamma subunit [EC:3.1.11.5],-2.533689055,-3.032796533,-1.680447386,1.539774793,1.933492948,0.749812121,0.195312568,0.007601772,0.733566076,0.011867815,0.675650711
"SIG54, rpoN; RNA polymerase sigma-54 factor",2.996853388,2.657258351,3.107676166,0.425823839,0.521993036,0.674001759,0.191157418,0.01825943,0.742496688,0.010126184,0.677988747
rbsD; D-ribose pyranase [EC:5.-.-.-],-0.976105109,-1.909898183,-0.608402464,1.40329696,1.547078724,0.828205604,0.189857028,0.005194883,0.735835474,0.010242538,0.67842261
fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41],1.461718166,0.852417762,2.064250605,0.87209629,1.439631546,0.683353637,0.204161313,0.016423213,0.740248374,0.013232647,0.683812017
fabA; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59],-1.849669918,-2.692967582,-1.415228496,1.490668253,1.977113842,0.716122035,0.190104238,0.00945668,0.736770584,0.015070761,0.683951924
fucA; L-fuculose-phosphate aldolase [EC:4.1.2.17],2.399336394,2.107353476,2.533391899,0.392052879,0.559128131,0.662787431,0.208333396,0.015820349,0.739454454,0.012653087,0.684338441
potG; putrescine transport system ATP-binding protein,-0.047056586,-0.563032671,0.548587122,0.949661373,1.306657922,0.693188284,0.20572923,0.01378681,0.738768624,0.013627328,0.684632452
"glnG, ntrC; two-component system, NtrC family, nitrogen regulation response regulator GlnG",0.579126653,0.140495666,0.790336165,0.723491872,0.991328373,0.70887683,0.203125065,0.015355211,0.73983269,0.015360061,0.686135021
"E4.2.1.22, CBS; cystathionine beta-synthase [EC:4.2.1.22]",-0.710507385,-0.467401493,-1.192894985,-0.910347247,1.11647089,-0.791030367,0.220052141,0.008247165,0.732399923,0.017009247,0.686639381
E3.1.2.23; 4-hydroxybenzoyl-CoA thioesterase [EC:3.1.2.23],-4.041265505,-4.932324114,-2.767321401,2.004090837,2.601120748,0.691659378,0.196358975,0.022329104,0.761316752,0.018367208,0.687909659
"flrA; sigma-54 specific transcriptional regulator, flagellar regulatory protein A",-0.288778301,-0.707062321,0.047429085,0.769507596,1.089360138,0.638227786,0.209362871,0.018742453,0.74664843,0.017374864,0.691812044
"katE, CAT, catB, srpA; catalase [EC:1.11.1.6]",-1.169879809,-0.993480022,-1.428371393,-0.43049941,0.60014737,-0.685999498,0.200260144,0.018248416,0.749896028,0.021685059,0.694173455
cmpD; bicarbonate transport system ATP-binding protein [EC:3.6.3.-],3.204236812,3.363251312,3.023980361,-0.301244189,0.464453761,-0.620102626,0.214564429,0.014530812,0.738525454,0.019374853,0.694400314
"qseC; two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]",-3.706738398,-4.37116897,-3.001603754,1.410223029,1.903659546,0.651687214,0.201560533,0.018452874,0.752586942,0.019662171,0.69606532
"glnL, ntrB; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]",-0.279549368,-1.456153839,-0.001440176,1.641571359,2.059455178,0.75416617,0.212239644,0.009144182,0.736396389,0.02133024,0.696307118
"flrB, fleS; two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]",-0.881466268,-1.080042878,-0.37456326,1.349545468,1.939316052,0.635756392,0.207031313,0.015485627,0.738350927,0.020683747,0.697285614
ftsX; cell division transport system permease protein,2.556417881,2.769016533,2.46172265,-0.299960096,0.43355593,-0.653304016,0.218750058,0.021843431,0.752597546,0.022000048,0.698145433
"ABC.MET.P, metI; D-methionine transport system permease protein",3.047628594,2.959736409,3.258592451,0.352949178,0.4886165,0.66719671,0.218750058,0.019981961,0.742765828,0.020439771,0.698225379
pstS; phosphate transport system substrate-binding protein,2.624373629,2.835311834,2.509185395,-0.284144069,0.320249994,-0.70919394,0.216145893,0.059730304,0.869018366,0.020880851,0.698705155
malK; maltose/maltodextrin transport system ATP-binding protein [EC:3.6.3.19],-0.786646644,-1.52936344,0.040779922,1.363624924,2.008521615,0.687724525,0.227864638,0.014139037,0.738087206,0.021801552,0.698775264
"fas; fatty acid synthase, bacteria type [EC:2.3.1.-]",1.147074513,2.329357738,0.568219739,-1.804115652,2.996160028,-0.558721499,0.21066326,0.035684519,0.793239913,0.022358501,0.699473289
cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25],0.372331518,1.234695334,-0.412627756,-1.394836013,1.832622868,-0.714840196,0.223958389,0.01827474,0.741304368,0.023048244,0.701210464
ftsE; cell division transport system ATP-binding protein,3.738313198,3.866852745,3.693195447,-0.200174941,0.310263457,-0.599106181,0.219765987,0.021872611,0.749092139,0.022198851,0.701478238
murN; alanine adding enzyme [EC:2.3.2.-],-1.801086734,-0.892080237,-2.245494186,-1.63284312,2.51427814,-0.565181819,0.226562555,0.051352468,0.836713022,0.02318804,0.701494957
"flrC, fleR; two component system, response regulator FlrC",0.930286648,0.476845858,1.320938983,1.066151217,1.42513942,0.659949271,0.231469494,0.020080204,0.744136821,0.023620921,0.701852633
aroH; chorismate mutase [EC:5.4.99.5],-3.811386194,-4.548102652,-3.371572283,1.222400666,1.949365084,0.597202842,0.199218817,0.026677175,0.772960151,0.023597763,0.70238116
"E2.7.2.7, buk; butyrate kinase [EC:2.7.2.7]",3.033404073,3.406195012,2.889461104,-0.48055724,0.731443456,-0.72866644,0.226562555,0.011637862,0.737318868,0.023264225,0.702708118
cobS; cobaltochelatase CobS [EC:6.6.1.2],-2.749455567,-1.022499332,-3.13572218,-1.932320889,2.13326202,-0.829950197,0.223667156,0.008777243,0.735938745,0.023014979,0.704239217
"nagK, NAGK; N-acetylglucosamine kinase [EC:2.7.1.59]",-3.578550174,-4.42956818,-3.07332553,1.61341086,2.179136679,0.632130551,0.218465598,0.016091358,0.746352688,0.023087778,0.70550754
fucI; L-fucose isomerase [EC:5.3.1.25],3.410378669,3.166147134,3.527306618,0.37901417,0.514864285,0.664019814,0.234375052,0.014242475,0.737489946,0.02502742,0.706107295
potH; putrescine transport system permease protein,-0.683205109,-1.383151657,-0.287142788,0.98076505,1.76729509,0.590193924,0.21196365,0.024352869,0.758552855,0.025297172,0.708666466
rhaB; rhamnulokinase [EC:2.7.1.5],3.393072955,3.222209181,3.484292983,0.248691837,0.352941747,0.636678541,0.227568325,0.018278145,0.742727089,0.025397833,0.709913355
"RP-L33, rpmG; large subunit ribosomal protein L33",1.413464097,1.245703346,1.622097702,0.469038969,0.695501265,0.648444395,0.236671053,0.019281297,0.746667588,0.026225922,0.710497577
"E1.1.1.21, AKR1; aldehyde reductase [EC:1.1.1.21]",-1.548934761,-2.006957659,-1.122788439,0.745277223,1.061848824,0.671526555,0.235370663,0.029821958,0.776493731,0.026416422,0.712740519
ptrB; oligopeptidase B [EC:3.4.21.83],-0.76168996,-0.173415075,-1.297529042,-1.588825199,2.561878613,-0.469519051,0.25130213,0.108759293,0.951272552,0.028504065,0.715132583
acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],0.789324282,-0.22512331,1.403551667,1.534869593,2.14191306,0.663865634,0.226562555,0.020454105,0.743867301,0.0285155,0.716334607
"E3.2.1.22B, galA, rafA; alpha-galactosidase [EC:3.2.1.22]",5.52779182,5.610461759,5.444365181,-0.231020386,0.408073223,-0.551421227,0.234070273,0.08500393,0.955395521,0.029798369,0.71806498
mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13],4.439298118,4.38545655,4.591013234,0.191598296,0.362972024,0.538455984,0.225260472,0.035020156,0.790348273,0.029406657,0.720039416
edd; phosphogluconate dehydratase [EC:4.2.1.12],-0.289688999,-1.096164789,0.345741944,1.552491463,2.429675271,0.573634805,0.236671053,0.021536593,0.747029276,0.029835695,0.720997679
mpa; proteasome-associated ATPase,-2.45077245,-1.374840364,-3.029118648,-1.600907796,2.451426433,-0.557051549,0.24577378,0.039572194,0.808638965,0.030904773,0.721602891
pabA; para-aminobenzoate synthetase component II [EC:2.6.1.85],-1.180097763,-0.620101536,-1.475210207,-0.902511129,1.344347347,-0.551176033,0.223958389,0.049568725,0.839503855,0.032209929,0.723134694
"nhaB; Na+:H+ antiporter, NhaB family",-0.924747938,-1.514069697,-0.241425567,1.47213806,2.214040926,0.642262887,0.244791715,0.030376432,0.772264714,0.03218276,0.724737602
apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41],-1.516704897,-1.979920509,-0.938489177,1.196977859,1.87228786,0.647689064,0.227568325,0.019560259,0.747053643,0.033268404,0.725299064
cysC; adenylylsulfate kinase [EC:2.7.1.25],1.020435189,1.178211406,0.737096072,-0.460725284,0.943793161,-0.527058798,0.222366767,0.045851077,0.829418687,0.033118363,0.729613858
