,rab.all,rab.win.CON,rab.win.MIX,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH
Bifidobacterium catenulatum,-2.294973079,-2.025264599,-2.492147674,-0.464288503,0.488341044,-0.790744427,0.110677223,0.013105232,0.494986829,0.000773896,0.226707747
Acidovorax citrulli,-1.112725656,-1.207762426,-0.996267451,0.218999791,0.237444422,0.708263054,0.141742627,0.152360077,0.689821682,0.002525938,0.262422007
Methylococcus capsulatus,-0.344814484,-0.473779975,-0.246041283,0.25502436,0.244138454,0.756014473,0.138020941,0.081062412,0.57250919,0.002110952,0.262506777
Parascardovia denticolens,-1.846215971,-1.735399927,-1.958281221,-0.242624512,0.268204162,-0.877864254,0.158854257,0.00282715,0.490483849,0.003152243,0.262600103
Epulopiscium sp. 'N.t. morphotype B',0.202631996,0.315750154,0.110661759,-0.252247922,0.2477894,-0.815592946,0.146944182,0.034677209,0.501817168,0.002421157,0.265794153
Bifidobacterium longum,2.905954191,3.280934127,2.670923848,-0.531056921,0.645044007,-0.814022429,0.158647684,0.00391272,0.494986829,0.002467787,0.266258539
Ralstonia solanacearum,-0.930585639,-1.080034855,-0.750795436,0.35041965,0.37550255,0.813746711,0.149739681,0.013432177,0.494986829,0.003340974,0.268682595
Sebaldella termitidis,1.647581115,1.726936771,1.592496591,-0.143060356,0.144944532,-0.778878563,0.166666751,0.368415223,0.838073436,0.00392797,0.270585564
Pantoea sp. At-9b,-1.511443326,-1.779884905,-1.309475329,0.437509788,0.460745785,0.832771665,0.164062587,0.008594842,0.494986829,0.004494552,0.270811128
Rattus norvegicus,-2.881757011,-2.220363853,-3.353239658,-1.051583269,1.343915786,-0.766316609,0.157552174,0.01358958,0.494986829,0.004412623,0.273000896
Clostridium phage c-st,-2.716462034,-1.861802684,-3.567056015,-1.702984222,1.936872506,-0.834608297,0.165364669,0.005392565,0.494986829,0.004195602,0.275315986
uncultured Termite group 1 bacterium,-1.401455958,-1.198018583,-1.514444281,-0.307766177,0.333569871,-0.871451101,0.188802155,0.004738285,0.494986829,0.007276127,0.280574541
Enterobacter sp. 638,-1.03852778,-1.262528875,-0.90379884,0.342089332,0.440818216,0.681221404,0.178153523,0.020134848,0.494986829,0.006558059,0.282424757
Nitrosomonas eutropha,-1.234362083,-1.346147472,-1.021482344,0.377056625,0.538851561,0.691426746,0.196614651,0.009910766,0.494986829,0.008669092,0.283407191
Scardovia inopinata,-1.402104538,-1.266349385,-1.613813463,-0.339163031,0.325395204,-0.813019363,0.178385494,0.046212028,0.515816558,0.008080617,0.2844141
Azotobacter vinelandii,-1.637984158,-1.77887002,-1.509956563,0.276758745,0.358186471,0.622962978,0.179453913,0.044311904,0.514856388,0.009618095,0.285254003
Bifidobacterium adolescentis,2.511855242,3.089282825,2.198387659,-0.895141454,1.100890878,-0.809069725,0.179687577,0.007440362,0.494986829,0.007453596,0.286107359
Clostridium carboxidivorans,1.30215904,1.536122577,1.241063197,-0.297718992,0.302013153,-0.769669224,0.184895907,0.039170415,0.505835926,0.007724285,0.286461605
Fusobacterium sp. 3_1_5R,-2.028837221,-1.685719278,-2.139599645,-0.367131817,0.452150488,-0.748042784,0.195058586,0.011960198,0.494986829,0.010709776,0.286480693
Salinispora tropica,-1.19767166,-0.952154531,-1.42680769,-0.508497002,0.641961331,-0.686005559,0.197916734,0.008870725,0.494986829,0.009533497,0.287320157
Anaerostipes caccae,2.581597525,2.826287308,2.4702429,-0.336203079,0.429034981,-0.718165464,0.191157418,0.065755722,0.542665303,0.009401403,0.287606823
Bifidobacterium pseudocatenulatum,-0.766407195,-0.606376512,-1.010325719,-0.400944509,0.516429759,-0.686211511,0.178385494,0.012646155,0.494986829,0.008845736,0.287704713
Clostridium perfringens,3.580041202,3.674174988,3.482523433,-0.203141538,0.270555098,-0.652781428,0.19140632,0.076682135,0.559999825,0.009520195,0.287995618
Bifidobacterium animalis,2.736128113,3.931289833,2.412714879,-1.405411699,1.721791113,-0.771118432,0.197916734,0.013732654,0.494986829,0.010061636,0.288949964
Edwardsiella tarda,-1.308991662,-1.656292468,-1.115273826,0.519483478,0.682260692,0.709648357,0.198959754,0.017805387,0.494986829,0.0114684,0.289930739
