PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,HMDB_ID
1463,(16 or 17)-methylstearate (a19:0 or i19:0),Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5993,297.2799,2724-59-6,3083779,2340933,,HMDB37397
1331,(2 or 3)-decenoate (10:1n7 or n8),Lipid,Medium Chain Fatty Acid,63436,LC/MS Neg,100021502,4990,169.1234,,,,,
474,(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,57814,LC/MS Pos Early,100016038,3080,188.17574,,,,,
1689,(R)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",43264,LC/MS Pos Early,100003926,2400,248.14925,,53481617,,,HMDB13127
1690,(S)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",52984,LC/MS Pos Early,100009271,2340,248.14925,,,,,HMDB13127
2086,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phosphatidylcholine (PC),52603,LC/MS Pos Late,100008903,2006,782.56944,998-06-1,5288075,4450312,,HMDB08138
2009,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),19130,LC/MS Pos Late,100000657,2365,734.56944,63-89-8,452110,398235,,HMDB00564
2049,"1,2-distearoyl-GPC (18:0/18:0)",Lipid,Phosphatidylcholine (PC),19132,LC/MS Pos Late,100000660,2950,790.63204,816-94-4,94190,85004,,HMDB08036
1068,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,LC/MS Neg,100000580,802,163.06119,154-58-5,64960,,C07326,HMDB02712
2525,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,Lysoplasmalogen,44621,LC/MS Pos Late,100005372,1566,464.3136,,,,,
2502,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Lipid,Plasmalogen,52689,LC/MS Pos Late,100009014,2154,766.57452,,,24767495,,HMDB11220
2494,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen,52673,LC/MS Pos Late,100009002,2270,724.52757,,,24769238,,HMDB11352
2503,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Lipid,Plasmalogen,52682,LC/MS Pos Late,100009009,2226,742.57452,,,24767486,,HMDB11211
2496,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Lipid,Plasmalogen,52478,LC/MS Pos Late,100009007,2443,744.59017,,,,,
2490,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Lipid,Plasmalogen,52477,LC/MS Pos Late,100009005,2600,702.54322,,,24769228,,HMDB11342
2492,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,Lipid,Plasmalogen,52716,LC/MS Pos Late,100009162,2454,718.57452,,11146967,9322076,,HMDB11206
2522,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Lipid,Lysoplasmalogen,52474,LC/MS Pos Late,100002875,1547,480.34485,,10917802,9093054,,HMDB10407
2523,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Lipid,Lysoplasmalogen,39270,LC/MS Pos Late,100003000,1558,438.2979,,,10471193,,
2507,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,Plasmalogen,52475,LC/MS Pos Late,100008999,2511,752.55887,,9547058,7826008,,HMDB05779
2499,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Lipid,Plasmalogen,52748,LC/MS Pos Late,100009225,2633,728.55887,,,24769261,,HMDB11376
2498,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),Lipid,Plasmalogen,52614,LC/MS Pos Late,100008919,2950,730.57452,144371-68-6,,24769260,,HMDB11375
2527,1-(1-enyl-stearoyl)-GPE (P-18:0)*,Lipid,Lysoplasmalogen,39271,LC/MS Pos Late,100003001,1649,466.3292,,,,,
2297,1-arachidonoyl-GPA (20:4),Lipid,Lysophospholipid,46325,LC/MS Neg,100004442,5499,457.23606,799268-65-8,,,,
2336,1-arachidonoyl-GPC (20:4n6)*,Lipid,Lysophospholipid,33228,LC/MS Pos Late,100001551,1460,544.33977,,,21403155,C05208,HMDB10395
2381,1-arachidonoyl-GPE (20:4n6)*,Lipid,Lysophospholipid,35186,LC/MS Pos Late,100001571,1470,502.29282,,42607465,21403171,,HMDB11517
2421,1-arachidonoyl-GPI (20:4)*,Lipid,Lysophospholipid,34214,LC/MS Neg,100001654,5482,619.28888,,,,,HMDB61690
2551,1-arachidonylglycerol (20:4),Lipid,Monoacylglycerol,34397,LC/MS Neg,100001433,6250,303.23293,35474-99-8,5282281,4445452,C13857,HMDB11549
334,1-carboxyethylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62558,LC/MS Neg,100020427,2628,202.10848,,,,,
293,1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62559,LC/MS Neg,100020425,2663,202.10848,,,,,
135,1-carboxyethylphenylalanine,Amino Acid,Phenylalanine Metabolism,62566,LC/MS Neg,100020419,2844,236.09283,,,19276386,,
153,1-carboxyethyltyrosine,Amino Acid,Tyrosine Metabolism,62564,LC/MS Neg,100020421,1846,252.08774,,,,,
